mixture_ID,mixture_path,source_1_path,source_2_path,length
1578-6379-0038_6415-111615-0009,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/1578-6379-0038_6415-111615-0009.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/1578-6379-0038_6415-111615-0009.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/1578-6379-0038_6415-111615-0009.wav,254400.0
3440-171009-0023_2911-12359-0019,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/3440-171009-0023_2911-12359-0019.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/3440-171009-0023_2911-12359-0019.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/3440-171009-0023_2911-12359-0019.wav,250720.0
2817-142371-0020_5393-19218-0035,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/2817-142371-0020_5393-19218-0035.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/2817-142371-0020_5393-19218-0035.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/2817-142371-0020_5393-19218-0035.wav,215360.0
7367-86737-0104_7402-90848-0037,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/7367-86737-0104_7402-90848-0037.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/7367-86737-0104_7402-90848-0037.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/7367-86737-0104_7402-90848-0037.wav,247600.0
2007-149877-0058_2092-145706-0072,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/2007-149877-0058_2092-145706-0072.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/2007-149877-0058_2092-145706-0072.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/2007-149877-0058_2092-145706-0072.wav,241440.0
1040-133433-0040_1455-138263-0032,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/1040-133433-0040_1455-138263-0032.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/1040-133433-0040_1455-138263-0032.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/1040-133433-0040_1455-138263-0032.wav,250800.0
3259-158083-0087_3607-135982-0031,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/3259-158083-0087_3607-135982-0031.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/3259-158083-0087_3607-135982-0031.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/3259-158083-0087_3607-135982-0031.wav,249040.0
4680-16026-0034_3112-9554-0020,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/4680-16026-0034_3112-9554-0020.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/4680-16026-0034_3112-9554-0020.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/4680-16026-0034_3112-9554-0020.wav,239760.0
6848-252323-0013_1235-135884-0040,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/6848-252323-0013_1235-135884-0040.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/6848-252323-0013_1235-135884-0040.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/6848-252323-0013_1235-135884-0040.wav,247920.0
89-218-0030_412-126975-0087,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/89-218-0030_412-126975-0087.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/89-218-0030_412-126975-0087.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/89-218-0030_412-126975-0087.wav,215200.0
831-130739-0007_2952-408-0008,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/831-130739-0007_2952-408-0008.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/831-130739-0007_2952-408-0008.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/831-130739-0007_2952-408-0008.wav,219840.0
87-121553-0098_2764-36616-0006,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/87-121553-0098_2764-36616-0006.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/87-121553-0098_2764-36616-0006.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/87-121553-0098_2764-36616-0006.wav,242560.0
8312-279791-0040_3983-5371-0004,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/8312-279791-0040_3983-5371-0004.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/8312-279791-0040_3983-5371-0004.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/8312-279791-0040_3983-5371-0004.wav,257200.0
625-132112-0052_7800-283478-0014,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/625-132112-0052_7800-283478-0014.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/625-132112-0052_7800-283478-0014.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/625-132112-0052_7800-283478-0014.wav,227680.0
6476-57446-0029_1447-130550-0026,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/6476-57446-0029_1447-130550-0026.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/6476-57446-0029_1447-130550-0026.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/6476-57446-0029_1447-130550-0026.wav,257440.0
3723-171115-0015_3112-9555-0091,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/3723-171115-0015_3112-9555-0091.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/3723-171115-0015_3112-9555-0091.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/3723-171115-0015_3112-9555-0091.wav,226960.0
19-198-0036_6818-68772-0039,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/19-198-0036_6818-68772-0039.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/19-198-0036_6818-68772-0039.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/19-198-0036_6818-68772-0039.wav,253600.0
5049-25947-0112_3486-166424-0064,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/5049-25947-0112_3486-166424-0064.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/5049-25947-0112_3486-166424-0064.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/5049-25947-0112_3486-166424-0064.wav,232320.0
6209-34601-0016_6415-100596-0035,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/6209-34601-0016_6415-100596-0035.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/6209-34601-0016_6415-100596-0035.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/6209-34601-0016_6415-100596-0035.wav,249840.0
211-122442-0071_32-21631-0011,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/211-122442-0071_32-21631-0011.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/211-122442-0071_32-21631-0011.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/211-122442-0071_32-21631-0011.wav,223920.0
1334-135589-0052_19-227-0012,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/1334-135589-0052_19-227-0012.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/1334-135589-0052_19-227-0012.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/1334-135589-0052_19-227-0012.wav,203680.0
8630-305212-0040_163-122947-0047,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/8630-305212-0040_163-122947-0047.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/8630-305212-0040_163-122947-0047.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/8630-305212-0040_163-122947-0047.wav,218720.0
4859-29340-0028_3699-47246-0009,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/4859-29340-0028_3699-47246-0009.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/4859-29340-0028_3699-47246-0009.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/4859-29340-0028_3699-47246-0009.wav,219120.0
163-121908-0003_5789-57195-0004,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/163-121908-0003_5789-57195-0004.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/163-121908-0003_5789-57195-0004.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/163-121908-0003_5789-57195-0004.wav,242720.0
1737-148989-0034_1447-130550-0014,/share/corpus/Libri2Mix/wav16k/max/train-100/mix_clean/1737-148989-0034_1447-130550-0014.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s1/1737-148989-0034_1447-130550-0014.wav,/share/corpus/Libri2Mix/wav16k/max/train-100/s2/1737-148989-0034_1447-130550-0014.wav,216160.0
